time,Open,High,Low,Close,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,ADX,ATR,BB_upper,BB_middle,BB_lower,OBV,VWAP
2025-05-24 13:31:00,108881.15,108892.89,108831.83,108831.84,5.09616,108833.776,108782.5635,108785.015,108829.47118671269,108802.99071661061,53.87873326690146,10.33470799091942,17.48616921827716,37.891213140808304,108939.79960670263,108782.5635,108625.32739329738,1.540150000000028,108750.01362576161
2025-05-24 13:32:00,108831.84,108831.84,108784.74,108831.35,7.775,108836.72099999999,108790.33249999999,108785.0722,108829.76023491073,108805.09140426909,53.80987864533842,6.8184548243919885,16.895282322782403,38.548983630749944,108940.94907768982,108790.33249999999,108639.71592231016,-6.234849999999972,108755.29479223625
2025-05-24 13:33:00,108831.34,108881.06,108831.34,108854.55,18.73032,108843.39499999999,108799.65449999999,108785.6574,108833.57404492446,108808.75500395286,56.63557749318533,5.574932123479343,16.038301419352837,39.34691337141074,108941.69274942244,108799.65449999999,108657.61625057754,12.495470000000026,108776.86999766441
2025-05-24 13:34:00,108854.55,108854.56,108778.22,108778.22,12.79416,108843.625,108802.9655,108784.7876,108825.05803801301,108806.4931518082,46.54641781213603,-0.5433781146512189,15.521167980420381,41.989276702024014,108939.66311775171,108802.9655,108666.2678822483,-0.2986899999999739,108781.87021164411
2025-05-24 13:35:00,108778.23,108787.29,108669.38,108669.38,23.23747,108830.843,108805.456,108782.29460000001,108801.1075706264,108796.33662204462,36.54843471103534,-11.469852590149106,16.49800015236626,47.41218550902151,108929.96970854646,108805.456,108680.94229145355,-23.536159999999974,108776.04480535116
2025-05-24 13:36:00,108669.39,108712.18,108653.38,108653.39,18.43761,108809.182,108806.47549999999,108779.90759999999,108778.38179053002,108785.74798337465,35.34720563653026,-18.885595213238858,17.578009392160183,48.22560082980486,108925.53895106282,108806.47549999999,108687.41204893716,-41.97376999999997,108787.58567228021
2025-05-24 13:37:00,108653.38,108694.91,108636.36,108688.0,22.72339,108795.18900000001,108802.3175,108778.79359999999,108764.47689967924,108778.50739201356,39.94789693651556,-20.439915762349038,18.76501413894451,48.963057913390436,108931.40972066025,108802.3175,108673.22527933976,-19.250379999999975,108777.60614186812
2025-05-24 13:38:00,108688.0,108766.27,108688.0,108755.38,15.26763,108782.44099999999,108799.93800000001,108778.17360000001,108763.07737665166,108776.79425186441,47.74413239229689,-16.101038912620215,18.472930998492973,51.056410919577125,108930.6387803496,108799.93800000001,108669.23721965041,-3.9827499999999745,108773.59290221923
2025-05-24 13:39:00,108755.38,108755.39,108697.7,108714.83,13.10256,108765.80900000001,108794.9585,108777.09039999999,108755.65470332064,108772.20430728186,44.03872473132272,-15.14701412887354,18.201710939502256,51.53023871103607,108930.5691226333,108794.9585,108659.34787736669,-17.085309999999975,108769.29603993986
2025-05-24 13:40:00,108714.82,108714.83,108708.27,108714.83,1.77804,108749.177,108789.979,108776.2516,108749.37397973285,108767.95435859432,44.03872473132272,-13.742231223301363,17.94986374186802,48.318078803104754,108929.61934014565,108789.979,108650.33865985436,-15.307269999999974,108768.48739340233
